ID	name	species	sex	cc	cp	maT	apodeme	sp.number	sex.number	csize	sqapodeme	center.cc	center.csize	pc1	pc2
1	ABTAO1	abtao	male	22.39	13.38	0.80653951	3.43	1	2	404.292264697357	1.85202591774521	1.13666666666667	1.6345757660572	0.0725567210962139	0.036346422838547
3	ABTAO11	abtao	male	26.3	16.82	0.781481481	5.61	1	2	572.916994295806	2.3685438564654	5.04666666666667	170.259305364507	0.0813786428190481	0.0522922896397358
4	ABTAO12	abtao	male	25.53	16.48	0.810690423	4.6	1	2	485.491503530185	2.14476105895272	4.27666666666667	82.8338145988857	0.0790208375607196	0.0236043993485699
5	ABTAO13	abtao	male	25.28	12.69	0.719546742	1.98	1	2	391.941472221375	1.40712472794703	4.02666666666667	-10.7162167099247	0.0234808415068874	0.042466166149156
6	ABTAO14	abtao	male	27.46	20.53	0.782934132	7.25	1	2	639.031344163594	2.69258240356725	6.20666666666667	236.373655232294	0.0797558021742976	0.0246896188663986
7	ABTAO15	abtao	male	22.42	15.99	0.71875	5.27	1	2	514.326744395039	2.2956480566498	1.16666666666667	111.66905546374	0.077208856307883	0.0171430526681769
8	ABTAO16	abtao	male	24.94	19.1	0.736928105	6.64	1	2	619.596642986387	2.57681974534503	3.68666666666667	216.938954055087	0.0828542236513736	0.0372004746929253
9	ABTAO17	abtao	male	25.12	17.99	0.723728814	5.32	1	2	569.977295729452	2.30651251893416	3.86666666666667	167.319606798152	0.0718859470737577	0.017819459360909
10	ABTAO18	abtao	male	21.79	15.35	0.749450549	4.12	1	2	484.389609836593	2.02977831301844	0.536666666666665	81.7319209052936	0.0476079466656251	0.0130371596224727
11	ABTAO19	abtao	male	20.61	10.6	0.724014337	1.33	1	2	316.734997787629	1.15325625946708	-0.643333333333334	-85.9226911436706	0.00285046903740336	0.0413153935542529
12	ABTAO2	abtao	male	25.69	15.8	0.792540793	4.53	1	2	483.454967791575	2.12837966537928	4.43666666666667	80.7972788602755	0.0747954495667488	0.039789483090364
13	ABTAO20	abtao	male	25.68	19.02	0.784511785	6.72	1	2	607.463191816397	2.59229627936314	4.42666666666667	204.805502885097	0.0727493458912818	0.00835428091646531
14	ABTAO21	abtao	male	34.8	25.72	0.704610951	13.22	1	2	839.425363672358	3.63593179253957	13.5466666666667	436.767674741058	0.119446983554789	0.0151537932842111
15	ABTAO22	abtao	male	31.47	18.81	0.815157116	6.57	1	2	642.751255518485	2.56320112359526	10.2166666666667	240.093566587185	0.103934819485467	0.0646545070971416
16	ABTAO24	abtao	male	15.24	9.272	0.982008368	0.81	1	2	217.494557065093	0.9	-6.01333333333333	-185.163131866206	0.0104516445066577	0.0448726963631281
17	ABTAO25	abtao	male	19.44	13.991	0.908572786	2.8	1	2	352.124142547349	1.67332005306815	-1.81333333333333	-50.5335463839505	0.0470016779708872	0.0569814564226322
